ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism	sample_id
aadA27	3004682	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter lwoffii	15.0	0.0	15.0	95.31	752.0	181.53	0	0	0	0				789	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
MuxA	3004073	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	32.0	0.0	32.0	61.28	785.0	113.59	0	0	0	0				1281	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux	ERR1725962
mgtA	3000462	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces lividans	8.0	0.0	8.0	6.28	79.0	58.88	0	0	0	0				1257	mgt macrolide glycotransferase	macrolide antibiotic	antibiotic inactivation	ERR1725962
tet(X4)	3004720	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.0	0.0	1.0	10.02	116.0	190.0	0	0	0	0				1158	tetracycline inactivation enzyme	glycylcycline; tetracycline antibiotic	antibiotic inactivation	ERR1725962
tetB(46)	3004033	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus australis	3.0	0.0	3.0	25.85	449.0	136.33	0	0	0	0				1737	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1725962
floR	3002705	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	4.0	0.0	4.0	37.7	458.0	192.5	0	0	0	0				1215	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	ERR1725962
Escherichia coli emrE	3004039	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	4.0	0.0	4.0	97.9	326.0	150.75	0	0	0	0				333	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	ERR1725962
Enterobacter cloacae acrA	3004042	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	4.0	0.0	4.0	40.54	484.0	152.75	0	0	0	0				1194	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1725962
Escherichia coli acrA	3004043	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	6.0	0.0	6.0	50.17	599.0	189.0	0	0	0	0				1194	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1725962
Pseudomonas aeruginosa CpxR	3004054	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	125.0	0.0	125.0	86.14	584.0	108.06	0	0	0	0				678	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic	antibiotic efflux	ERR1725962
MexF	3000804	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	211.0	0.0	211.0	95.26	3038.0	125.26	0	0	0	0				3189	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	ERR1725962
ANT(3'')-IIc	3004091	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter gyllenbergii	1.0	0.0	1.0	19.14	151.0	165.0	0	0	0	0				789	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
MuxB	3004074	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	324.0	0.0	324.0	90.45	2833.0	117.55	0	0	0	0				3132	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux	ERR1725962
PmpM	3004077	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	7.0	0.0	7.0	41.21	591.0	118.71	0	0	0	0				1434	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic; aminoglycoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1725962
MuxC	3004075	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	257.0	0.0	257.0	68.11	2119.0	121.48	0	0	0	0				3111	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux	ERR1725962
lnuG	3004085	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	2.0	0.0	2.0	10.57	85.0	162.5	0	0	0	0				804	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation	ERR1725962
QepA2	3004103	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	14.0	0.0	14.0	52.08	800.0	100.29	0	0	0	0				1536	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux	ERR1725962
AxyX	3004143	protein homolog model	CARD	1	100.0	no data	no data	Achromobacter insuavis	9.0	0.0	9.0	36.9	434.0	101.0	0	0	0	0				1176	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin	antibiotic efflux	ERR1725962
cfrC	3004146	protein homolog model	CARD	1	100.0	no data	no data	Clostridium botulinum	26.0	0.0	26.0	94.69	980.0	182.38	0	0	0	0				1035	Cfr 23S ribosomal RNA methyltransferase	lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic	antibiotic target alteration	ERR1725962
AxyY	3004144	protein homolog model	CARD	1	100.0	no data	no data	Achromobacter insuavis	416.0	0.0	416.0	55.0	1726.0	126.86	0	0	0	0				3138	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin	antibiotic efflux	ERR1725962
Rhodobacter sphaeroides ampC beta-lactamase	3004291	protein homolog model	CARD	1	100.0	no data	no data	Cereibacter sphaeroides	1.0	0.0	1.0	2.36	27.0	34.0	0	0	0	0				1143	ampC-type beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1725962
rpoB2	3000501	protein homolog model	CARD	1	100.0	no data	no data	Nocardia farcinica	319.0	0.0	319.0	77.27	2696.0	116.73	0	0	0	0				3489	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	ERR1725962
tet(W/N/W)	3004442	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	9.0	0.0	9.0	30.52	586.0	199.0	0	0	0	0				1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	ERR1725962
NPS-1	3004239	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	10.0	0.0	10.0	90.17	706.0	195.6	0	0	0	0				783	NPS beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1725962
poxtA	3004470	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	46.0	0.0	46.0	16.33	266.0	76.8	0	0	0	0				1629	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic	antibiotic target protection	ERR1725962
OXA-151	3001456	protein homolog model	CARD	1	100.0	no data	no data	Pandoraea pnomenusa	5.0	0.0	5.0	5.59	48.0	54.0	0	0	0	0				858	OXA beta-lactamase; OXA-62-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1725962
CBP-1	3004764	protein homolog model	CARD	1	100.0	no data	no data	Clostridium botulinum	3.0	0.0	3.0	22.33	207.0	91.0	0	0	0	0				927	CBP beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1725962
BKC-1	3004757	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	3.0	0.0	3.0	18.58	175.0	150.67	0	0	0	0				942	BKC Beta-lactamase	carbapenem	antibiotic inactivation	ERR1725962
OXA-464	3003620	protein homolog model	CARD	1	100.0	no data	no data	Aliarcobacter butzleri	14.0	0.0	14.0	55.25	421.0	112.14	0	0	0	0				762	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1725962
OXA-280	3001735	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	6.0	0.0	6.0	59.54	493.0	199.17	0	0	0	0				828	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1725962
mphK	3004541	protein homolog model	CARD	1	100.0	no data	no data	Bacillus subtilis	1.0	0.0	1.0	2.06	19.0	34.0	0	0	0	0				921	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation	ERR1725962
mphE	3003741	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	116.0	0.0	116.0	100.0	885.0	194.59	0	0	0	0				885	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation	ERR1725962
ICR-Mo	3004569	protein homolog model	CARD	1	100.0	no data	no data	Moraxella osloensis	6.0	0.0	6.0	38.1	639.0	155.33	0	0	0	0				1677	intrinsic colistin resistant phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ERR1725962
Acinetobacter baumannii AmvA	3004577	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	4.0	0.0	4.0	20.42	302.0	145.0	0	0	0	0				1479	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1725962
Klebsiella pneumoniae KpnE	3004580	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	9.0	0.0	9.0	61.16	222.0	143.11	0	0	0	0				363	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1725962
qacE	3005009	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	6.0	0.0	6.0	54.65	182.0	183.67	0	0	0	0				333	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux	ERR1725962
Klebsiella pneumoniae OmpK37	3004122	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	3.0	0.0	3.0	38.58	434.0	160.67	0	0	0	0				1125	General Bacterial Porin with reduced permeability to beta-lactams	monobactam; carbapenem; cephalosporin; penicillin beta-lactam	reduced permeability to antibiotic	ERR1725962
Klebsiella pneumoniae KpnH	3004597	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	21.0	0.0	21.0	75.18	1157.0	138.48	0	0	0	0				1539	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; peptide antibiotic	antibiotic efflux	ERR1725962
qacEdelta1	3005010	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	8.0	0.0	8.0	98.56	343.0	176.88	0	0	0	0				348	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux	ERR1725962
YajC	3005040	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	2.0	0.0	2.0	54.28	184.0	109.0	0	0	0	0				339	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; oxazolidinone antibiotic; glycopeptide antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1725962
OmpA	3005044	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	12.0	0.0	12.0	43.02	484.0	46.42	0	0	0	0				1125	General Bacterial Porin with reduced permeability to peptide antibiotics	peptide antibiotic	reduced permeability to antibiotic	ERR1725962
ArnT	3005053	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.0	0.0	2.0	15.04	249.0	189.0	0	0	0	0				1656	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ERR1725962
eptB	3005047	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	5.0	0.0	5.0	38.32	661.0	168.2	0	0	0	0				1725	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ERR1725962
LptD	3005059	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	5.0	0.0	5.0	25.07	589.0	130.4	0	0	0	0				2349	ATP-binding cassette (ABC) antibiotic efflux pump	carbapenem; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic	antibiotic efflux	ERR1725962
rsmA	3005069	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	3.0	0.0	3.0	79.03	147.0	85.33	0	0	0	0				186	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	ERR1725962
RanA	3005091	protein homolog model	CARD	1	100.0	no data	no data	Riemerella anatipestifer	4.0	0.0	4.0	16.86	131.0	77.75	0	0	0	0				777	ATP-binding cassette (ABC) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux	ERR1725962
GPC-1	3005096	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	6.0	0.0	6.0	68.46	612.0	164.33	0	0	0	0				894	GPC beta-lactamase	carbapenem	antibiotic inactivation	ERR1725962
qacL	3005098	protein homolog model	CARD	1	100.0	no data	no data	Vibrio cholerae	125.0	0.0	125.0	100.0	333.0	182.79	0	0	0	0				333	small multidrug resistance (SMR) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux	ERR1725962
blaS1	3005111	protein homolog model	CARD	1	100.0	no data	no data	Mycolicibacterium smegmatis	1.0	0.0	1.0	2.61	23.0	46.0	0	0	0	0				882	blaS	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1725962
OXA-544	3005222	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	6.0	0.0	6.0	46.86	388.0	152.17	0	0	0	0				828	OXA beta-lactamase; OXA-2-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1725962
SHV-224	3005240	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	3.0	0.0	3.0	11.38	98.0	140.67	0	0	0	0				861	SHV beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1725962
SHV-210	3005225	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.0	0.0	2.0	35.08	302.0	201.0	0	0	0	0				861	SHV beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1725962
OXA-838	3005316	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	8.0	0.0	8.0	26.33	218.0	150.62	0	0	0	0				828	OXA beta-lactamase; OXA-2-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1725962
OXA-926	3005323	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella	2.0	0.0	2.0	16.98	137.0	126.5	0	0	0	0				807	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1725962
ALG11-1	3006892	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	1.0	0.0	1.0	3.72	33.0	34.0	0	0	0	0				888	ALG11 beta-lactamase	carbapenem	antibiotic inactivation	ERR1725962
CDD-2	3006905	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	4.0	0.0	4.0	4.85	45.0	64.75	0	0	0	0				927	CDD beta-lactamase	carbapenem	antibiotic inactivation	ERR1725962
EBR-3	3005461	protein homolog model	CARD	1	100.0	no data	no data	Empedobacter falsenii	4.0	0.0	4.0	24.72	175.0	132.0	0	0	0	0				708	EBR beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1725962
EBR-4	3005462	protein homolog model	CARD	1	100.0	no data	no data	Empedobacter falsenii	5.0	0.0	5.0	37.57	266.0	118.8	0	0	0	0				708	EBR beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1725962
EC-18	3006878	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	3.0	0.0	3.0	22.93	260.0	136.33	0	0	0	0				1134	EC beta-lactamase	cephalosporin	antibiotic inactivation	ERR1725962
EC-19	3006879	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.0	0.0	1.0	13.32	151.0	197.0	0	0	0	0				1134	EC beta-lactamase	cephalosporin	antibiotic inactivation	ERR1725962
EC-13	3006874	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.0	0.0	2.0	26.63	302.0	201.0	0	0	0	0				1134	EC beta-lactamase	cephalosporin	antibiotic inactivation	ERR1725962
GES-28	3006157	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	2.0	0.0	2.0	34.84	301.0	200.5	0	0	0	0				864	GES beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1725962
OKP-D-1	3006153	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	5.0	0.0	5.0	8.83	76.0	61.6	0	0	0	0				861	OKP beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1725962
OHIO-1	3006956	protein homolog model	CARD	1	100.0	no data	no data	Plasmid PDS075	2.0	0.0	2.0	5.92	51.0	45.0	0	0	0	0				861	OHIO beta-lactamase	cephalosporin	antibiotic inactivation	ERR1725962
OXA-114r	3005717	protein homolog model	CARD	1	100.0	no data	no data	Achromobacter xylosoxidans	4.0	0.0	4.0	13.65	113.0	51.25	0	0	0	0				828	OXA beta-lactamase; OXA-114-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1725962
OXA-522	3005752	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	1.0	0.0	1.0	18.37	151.0	201.0	0	0	0	0				822	OXA beta-lactamase; OXA-213-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1725962
OXA-643	3005863	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	4.0	0.0	4.0	20.12	166.0	155.25	0	0	0	0				825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1725962
OXA-650	3005866	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	2.0	0.0	2.0	15.76	130.0	187.5	0	0	0	0				825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1725962
OXA-651	3005867	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	2.0	0.0	2.0	23.88	197.0	178.0	0	0	0	0				825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1725962
OXA-652	3005868	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	2.0	0.0	2.0	10.67	88.0	179.0	0	0	0	0				825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1725962
OXA-662	3005877	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	1.0	0.0	1.0	18.18	150.0	193.0	0	0	0	0				825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1725962
OXA-732	3005937	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	2.0	0.0	2.0	37.58	301.0	199.5	0	0	0	0				801	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1725962
PAU-1	3006964	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	13.0	0.0	13.0	93.08	821.0	183.54	0	0	0	0				882	PAU beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation	ERR1725962
OXA-947	3006126	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter lactucae	1.0	0.0	1.0	3.5	29.0	46.0	0	0	0	0				828	OXA beta-lactamase; OXA-679-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1725962
PDC-133	3006510	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	11.0	0.0	11.0	9.05	108.0	61.36	0	0	0	0				1194	PDC beta-lactamase	monobactam; carbapenem; cephalosporin	antibiotic inactivation	ERR1725962
